Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
300361,2025-02,6585,22813,20.3,929,Paid in Full,Current,810,27.91,No
300362,2025-02,40126,25082,21.3,870,Paid in Full,Current,552,30.5,No
300363,2025-02,40752,9553,13.03,56,Paid in Full,90+ Days,709,90.76,No
300364,2025-02,6641,43158,21.24,676,Paid in Full,Current,720,71.15,No
300365,2025-02,46289,23482,12.12,508,Paid in Full,Current,814,78.24,No
300366,2025-02,48728,28533,16.33,320,Paid in Full,Current,658,75.6,No
300367,2025-02,18196,24606,17.54,985,Paid in Full,Current,625,93.61,No
300368,2025-02,12791,43887,20.86,980,Paid in Full,Current,796,72.63,No
300369,2025-02,11119,27338,21.12,390,Paid in Full,Current,802,19.63,No
300370,2025-02,3035,11264,24.88,987,Paid in Full,Current,654,20.13,No
300371,2025-02,16852,21720,10.47,787,Missed Payment,Current,777,36.46,No
300372,2025-02,8832,14055,22.87,306,Paid in Full,Current,762,81.39,No
300373,2025-02,21799,24120,15.58,768,Paid in Full,Current,837,89.81,No
300374,2025-02,48682,7309,11.3,95,Paid in Full,Current,828,66.63,No
300375,2025-02,12265,9963,24.0,841,Paid in Full,Current,538,82.18,No
300376,2025-02,27043,24430,17.45,567,Paid in Full,Current,818,89.56,No
300377,2025-02,19527,20200,20.56,863,Paid in Full,Current,649,6.38,No
300378,2025-02,33708,30399,15.24,311,Paid in Full,Current,634,90.3,No
300379,2025-02,22734,36896,17.85,299,Paid in Full,Current,529,73.0,No
300380,2025-02,41361,19982,22.15,854,Paid in Full,Current,742,79.11,No
300381,2025-02,24406,25097,14.43,529,Missed Payment,Current,691,57.96,No
300382,2025-02,41686,38521,18.9,375,Paid in Full,Current,616,83.46,No
300383,2025-02,9833,39365,21.22,959,Missed Payment,Current,544,72.53,No
300384,2025-02,40950,23567,24.01,258,Paid in Full,Current,524,87.14,No
300385,2025-02,12126,28928,18.84,497,Paid in Full,Current,648,6.9,No
300386,2025-02,9773,29651,22.79,663,Paid in Full,Current,755,61.41,No
300387,2025-02,44111,11865,11.68,473,Paid in Full,Current,645,59.19,No
300388,2025-02,2654,17290,11.64,82,Partial Payment,Current,581,78.15,No
300389,2025-02,29587,10740,24.22,843,Paid in Full,Current,594,72.22,No
300390,2025-02,37560,27365,16.09,498,Paid in Full,Current,808,79.34,No
300391,2025-02,16852,25451,18.55,213,Paid in Full,Current,600,14.81,No
300392,2025-02,20938,5832,23.18,262,Paid in Full,Current,810,54.8,No
300393,2025-02,24710,34586,16.25,610,Partial Payment,Current,742,13.96,Yes
300394,2025-02,11007,3912,20.0,132,Partial Payment,Current,594,29.58,No
300395,2025-02,27566,2095,14.86,872,Paid in Full,Current,809,21.23,No
300396,2025-02,4403,13293,22.55,291,Partial Payment,Current,827,19.12,No
300397,2025-02,47504,556,11.51,475,Missed Payment,Current,847,32.43,No
300398,2025-02,31746,34058,17.53,609,Partial Payment,Current,570,44.31,No
300399,2025-02,21443,41019,21.75,213,Partial Payment,Current,508,19.78,No
300400,2025-02,29279,42867,17.66,589,Paid in Full,Current,775,19.07,No
300401,2025-02,19941,3152,11.26,499,Paid in Full,Current,557,79.96,No
300402,2025-02,16147,28209,13.73,821,Partial Payment,Current,558,78.62,No
300403,2025-02,30751,22149,21.01,277,Paid in Full,30 Days,835,41.58,No
300404,2025-02,10172,27852,21.41,101,Partial Payment,Current,605,81.43,No
300405,2025-02,1595,41855,24.85,440,Paid in Full,30 Days,671,70.75,No
300406,2025-02,31025,34278,13.06,996,Paid in Full,Current,597,6.52,No
300407,2025-02,27151,37645,24.39,341,Paid in Full,Current,719,9.32,No
300408,2025-02,34705,16399,16.17,425,Missed Payment,Current,736,49.22,No
300409,2025-02,45372,603,20.2,440,Partial Payment,Current,721,45.09,No
300410,2025-02,48110,4370,12.19,923,Paid in Full,Current,799,72.36,No
300411,2025-02,16875,16690,14.63,843,Partial Payment,Current,525,83.78,No
300412,2025-02,38875,2279,14.19,229,Paid in Full,Current,752,37.38,No
300413,2025-02,30116,17416,22.25,212,Partial Payment,Current,586,34.21,No
300414,2025-02,42733,36167,21.39,464,Paid in Full,Current,667,82.88,No
300415,2025-02,3964,35975,20.21,511,Missed Payment,Current,516,67.31,No
300416,2025-02,43533,3018,11.52,877,Paid in Full,Current,585,76.36,No
300417,2025-02,44106,632,13.3,867,Partial Payment,Current,780,31.78,No
300418,2025-02,10997,26768,15.16,533,Partial Payment,Current,515,66.33,No
300419,2025-02,17726,15589,22.25,535,Paid in Full,Current,707,10.93,No
300420,2025-02,30629,9743,17.92,226,Paid in Full,Current,846,54.64,No
300421,2025-02,21785,29515,13.08,282,Paid in Full,Current,533,59.79,No
300422,2025-02,32137,1496,18.65,886,Partial Payment,Current,653,19.38,No
300423,2025-02,32175,19738,17.06,229,Partial Payment,Current,544,60.41,No
300424,2025-02,8225,33530,17.94,810,Paid in Full,Current,540,80.35,No
300425,2025-02,42545,30297,15.31,65,Paid in Full,Current,834,42.06,Yes
300426,2025-02,30292,20677,17.52,190,Partial Payment,Current,742,46.82,No
300427,2025-02,35729,20438,10.32,860,Paid in Full,Current,530,89.3,No
300428,2025-02,47068,4946,15.93,423,Paid in Full,30 Days,604,93.09,No
300429,2025-02,6449,29408,11.16,474,Paid in Full,Current,661,29.56,No
300430,2025-02,35496,28723,20.27,305,Paid in Full,Current,591,87.54,No
300431,2025-02,21898,4483,20.75,760,Paid in Full,Current,653,85.93,Yes
300432,2025-02,10921,27445,24.41,894,Paid in Full,30 Days,829,78.16,No
300433,2025-02,28124,32523,20.44,137,Paid in Full,Current,791,80.59,No
300434,2025-02,32437,6001,22.53,998,Partial Payment,Current,799,59.4,Yes
300435,2025-02,26536,32469,12.65,549,Missed Payment,Current,710,61.27,No
300436,2025-02,10391,20673,15.46,450,Paid in Full,90+ Days,567,75.98,No
300437,2025-02,20894,30496,18.35,796,Paid in Full,Current,745,47.3,No
300438,2025-02,16383,15990,14.29,949,Missed Payment,30 Days,687,41.39,No
300439,2025-02,23309,10613,18.63,226,Paid in Full,Current,632,82.88,No
300440,2025-02,2461,42812,23.3,727,Missed Payment,Current,757,88.46,No
300441,2025-02,40421,18998,17.19,62,Missed Payment,Current,677,32.31,No
300442,2025-02,44666,2643,11.02,617,Paid in Full,Current,564,59.17,No
300443,2025-02,1224,17912,14.72,722,Paid in Full,Current,703,59.89,No
300444,2025-02,48594,30514,12.13,863,Partial Payment,30 Days,645,45.12,Yes
300445,2025-02,46013,25982,18.64,136,Paid in Full,Current,712,77.28,No
300446,2025-02,13930,7475,12.85,908,Missed Payment,Current,642,12.2,No
300447,2025-02,32863,34793,22.59,984,Partial Payment,Current,535,45.35,No
300448,2025-02,19997,43487,19.03,321,Partial Payment,60 Days,587,65.5,No
300449,2025-02,27379,8309,19.42,350,Paid in Full,30 Days,766,19.98,No
300450,2025-02,47304,13564,14.04,194,Paid in Full,Current,556,9.78,No
300451,2025-02,19170,6992,22.1,113,Paid in Full,Current,846,74.36,No
300452,2025-02,2225,27189,23.95,477,Paid in Full,Current,825,15.15,No
300453,2025-02,49595,1280,17.65,382,Paid in Full,Current,505,11.73,No
300454,2025-02,2125,17799,12.56,628,Partial Payment,Current,584,69.63,No
300455,2025-02,9853,4551,17.71,682,Missed Payment,Current,649,60.97,No
300456,2025-02,45644,40393,17.89,213,Paid in Full,Current,599,92.77,No
300457,2025-02,48043,41083,15.38,340,Paid in Full,Current,658,26.17,No
300458,2025-02,37218,21655,17.81,721,Partial Payment,Current,726,93.84,No
300459,2025-02,10505,21395,20.43,567,Partial Payment,Current,569,17.12,No
300460,2025-02,22648,42293,11.58,372,Paid in Full,Current,673,66.35,No
300461,2025-02,18347,10418,14.43,61,Partial Payment,Current,542,23.26,No
300462,2025-02,21283,11342,24.81,331,Paid in Full,30 Days,530,88.91,No
300463,2025-02,41566,14078,24.21,448,Missed Payment,Current,542,60.64,Yes
300464,2025-02,46439,36824,10.79,835,Missed Payment,Current,709,7.61,No
300465,2025-02,10189,41187,12.02,895,Missed Payment,Current,508,32.58,No
300466,2025-02,19747,21347,16.68,347,Partial Payment,Current,831,5.62,No
300467,2025-02,47823,11290,17.97,989,Paid in Full,Current,546,5.39,No
300468,2025-02,37469,39809,10.68,347,Paid in Full,Current,837,29.15,No
300469,2025-02,25530,32077,24.46,578,Paid in Full,Current,705,29.93,No
300470,2025-02,3130,17355,24.47,591,Partial Payment,Current,731,59.47,No
300471,2025-02,21769,34318,21.39,135,Paid in Full,30 Days,758,87.47,No
300472,2025-02,5722,10291,16.19,74,Paid in Full,Current,770,86.53,No
300473,2025-02,29136,43771,11.33,251,Paid in Full,Current,656,67.26,No
300474,2025-02,44296,13959,23.57,501,Paid in Full,Current,731,16.56,No
300475,2025-02,26595,8253,18.07,568,Paid in Full,Current,821,79.88,No
300476,2025-02,12514,29529,23.78,685,Partial Payment,Current,674,46.25,No
300477,2025-02,4838,15936,17.27,783,Paid in Full,Current,573,48.74,No
300478,2025-02,21867,18719,12.57,522,Paid in Full,Current,684,43.45,No
300479,2025-02,8939,17113,24.64,378,Missed Payment,Current,833,74.2,No
300480,2025-02,32981,20881,12.06,386,Missed Payment,Current,659,64.9,No
300481,2025-02,48488,7518,16.19,997,Paid in Full,Current,611,76.93,No
300482,2025-02,29618,42460,15.83,915,Paid in Full,Current,558,83.7,No
300483,2025-02,19711,44490,23.1,896,Paid in Full,60 Days,571,54.59,No
300484,2025-02,19741,7527,16.3,863,Paid in Full,Current,790,58.41,No
300485,2025-02,21488,22194,21.3,439,Paid in Full,Current,794,53.89,No
300486,2025-02,16088,25595,21.27,80,Paid in Full,Current,720,76.86,No
300487,2025-02,47336,6389,22.66,474,Paid in Full,Current,634,90.89,Yes
300488,2025-02,19035,3816,21.39,349,Paid in Full,Current,598,40.77,No
300489,2025-02,29207,37255,12.5,649,Paid in Full,Current,521,65.28,No
300490,2025-02,23212,13481,21.52,608,Paid in Full,Current,751,18.93,No
300491,2025-02,31347,3863,16.23,403,Missed Payment,Current,743,34.54,No
300492,2025-02,26676,27602,13.92,457,Partial Payment,Current,759,71.3,No
300493,2025-02,32783,2467,15.05,361,Paid in Full,Current,668,46.46,No
300494,2025-02,19228,38340,19.33,152,Paid in Full,Current,713,55.21,No
300495,2025-02,44800,17492,12.73,920,Paid in Full,Current,835,61.7,No
300496,2025-02,21807,36070,14.59,540,Partial Payment,Current,622,73.53,No
300497,2025-02,27549,22474,17.52,635,Paid in Full,Current,724,40.26,No
300498,2025-02,26058,7383,11.97,163,Paid in Full,Current,744,86.88,No
300499,2025-02,47075,20510,11.83,71,Paid in Full,Current,640,76.87,No
300500,2025-02,37994,43777,17.07,412,Paid in Full,Current,603,37.14,No
300501,2025-02,2401,21606,16.73,186,Paid in Full,Current,757,90.72,No
300502,2025-02,24321,14048,19.81,105,Paid in Full,Current,662,11.42,No
300503,2025-02,1201,26086,20.82,69,Paid in Full,60 Days,727,69.26,No
300504,2025-02,15173,11751,23.63,618,Paid in Full,Current,806,65.93,No
300505,2025-02,25657,4853,18.94,237,Paid in Full,Current,759,84.48,No
300506,2025-02,29367,43890,10.24,312,Paid in Full,Current,594,10.84,No
300507,2025-02,39129,34315,21.54,378,Partial Payment,30 Days,684,52.81,No
300508,2025-02,12687,21842,13.79,563,Paid in Full,60 Days,827,94.14,No
300509,2025-02,22267,1514,16.16,470,Paid in Full,Current,827,70.32,No
300510,2025-02,36168,4757,23.7,937,Paid in Full,Current,785,81.16,No
300511,2025-02,44759,21188,15.36,481,Partial Payment,Current,832,19.24,No
300512,2025-02,16048,25465,20.47,345,Partial Payment,Current,597,41.77,No
300513,2025-02,27099,36182,18.06,88,Paid in Full,Current,701,45.46,Yes
300514,2025-02,8931,10718,14.31,768,Paid in Full,Current,530,11.17,No
300515,2025-02,3136,12000,19.48,190,Paid in Full,90+ Days,638,65.88,No
300516,2025-02,33721,21826,24.28,126,Paid in Full,60 Days,730,28.43,No
300517,2025-02,30739,42707,23.75,438,Paid in Full,Current,545,70.42,No
300518,2025-02,36465,38682,13.34,346,Paid in Full,Current,517,87.02,Yes
300519,2025-02,8493,20814,19.45,385,Paid in Full,Current,761,51.92,No
300520,2025-02,15202,42826,22.8,237,Paid in Full,Current,842,73.9,No
300521,2025-02,26646,18835,22.24,424,Paid in Full,Current,664,93.92,No
300522,2025-02,29683,15183,17.4,459,Partial Payment,Current,714,10.7,No
300523,2025-02,39056,42435,10.3,432,Paid in Full,90+ Days,629,47.57,No
300524,2025-02,42300,32873,23.62,136,Paid in Full,Current,709,45.76,No
300525,2025-02,4419,16274,16.76,928,Missed Payment,Current,843,92.96,No
300526,2025-02,29856,30613,20.65,797,Paid in Full,Current,762,42.69,No
300527,2025-02,11103,18412,19.68,406,Paid in Full,Current,777,83.55,No
300528,2025-02,46608,26899,14.29,404,Partial Payment,60 Days,749,69.37,No
300529,2025-02,29141,43936,10.22,194,Paid in Full,Current,714,81.73,No
300530,2025-02,34248,17845,17.71,595,Paid in Full,Current,792,61.65,No
300531,2025-02,2512,13596,23.63,601,Paid in Full,Current,651,87.22,No
300532,2025-02,39948,824,20.94,539,Paid in Full,Current,798,16.94,No
300533,2025-02,31292,34376,17.04,408,Partial Payment,Current,731,14.75,No
300534,2025-02,41113,44890,14.97,176,Paid in Full,Current,800,92.36,No
300535,2025-02,42661,39999,14.9,621,Paid in Full,Current,676,38.7,No
300536,2025-02,10534,13786,15.62,418,Partial Payment,Current,699,90.94,No
300537,2025-02,22603,31347,16.57,501,Paid in Full,Current,743,12.1,No
300538,2025-02,22804,9622,23.09,211,Partial Payment,Current,693,81.9,No
300539,2025-02,8245,24338,20.91,418,Paid in Full,Current,827,40.41,No
300540,2025-02,1703,40618,17.09,296,Paid in Full,Current,512,60.83,No
300541,2025-02,33674,18871,11.49,178,Paid in Full,Current,653,14.05,No
300542,2025-02,36872,18961,13.37,83,Partial Payment,Current,565,13.2,No
300543,2025-02,33850,24813,18.78,671,Paid in Full,Current,807,94.46,No
300544,2025-02,26010,38425,12.79,394,Partial Payment,Current,733,20.15,No
300545,2025-02,48051,1213,20.83,619,Paid in Full,Current,664,14.92,No
300546,2025-02,8974,41100,14.93,325,Paid in Full,Current,815,63.24,No
300547,2025-02,14181,14936,21.52,569,Partial Payment,Current,848,85.97,No
300548,2025-02,14958,42724,16.42,652,Missed Payment,Current,835,24.43,No
300549,2025-02,44044,29148,12.64,633,Missed Payment,Current,614,70.9,No
300550,2025-02,38749,4017,16.38,920,Paid in Full,Current,637,72.2,No
300551,2025-02,40706,5857,13.07,314,Paid in Full,Current,500,9.7,No
300552,2025-02,39164,17839,16.63,906,Paid in Full,Current,714,12.06,No
300553,2025-02,33459,23060,22.69,439,Partial Payment,Current,690,84.54,No
300554,2025-02,49277,32301,22.05,275,Partial Payment,Current,585,16.56,No
300555,2025-02,47760,18413,10.86,646,Paid in Full,Current,835,48.98,No
300556,2025-02,1429,19250,11.6,111,Paid in Full,Current,688,69.66,No
300557,2025-02,40552,2933,10.89,800,Missed Payment,Current,549,63.2,No
300558,2025-02,24568,5012,11.43,982,Paid in Full,Current,644,17.25,No
300559,2025-02,8745,14205,10.71,370,Paid in Full,Current,697,62.78,No
300560,2025-02,25393,42654,24.95,100,Partial Payment,Current,627,5.87,No
300561,2025-02,49824,39566,23.36,368,Missed Payment,Current,819,57.79,No
300562,2025-02,42161,44374,14.82,728,Paid in Full,30 Days,576,83.84,No
300563,2025-02,36590,41088,11.97,763,Paid in Full,Current,549,86.78,No
300564,2025-02,35462,13556,18.38,178,Paid in Full,60 Days,640,39.72,No
300565,2025-02,33718,20708,12.38,850,Missed Payment,Current,765,81.55,Yes
300566,2025-02,38508,23253,21.75,598,Paid in Full,Current,532,26.9,No
300567,2025-02,24740,38964,12.84,842,Paid in Full,Current,580,90.48,No
300568,2025-02,26477,37704,14.73,350,Paid in Full,Current,677,8.58,No
300569,2025-02,46919,34874,16.84,893,Paid in Full,Current,699,23.81,No
300570,2025-02,18641,27089,16.84,691,Partial Payment,Current,797,55.01,No
300571,2025-02,3412,29442,12.7,402,Paid in Full,Current,797,16.3,No
300572,2025-02,9877,28473,15.66,427,Paid in Full,Current,834,80.23,No
300573,2025-02,26884,2986,16.26,229,Paid in Full,Current,799,90.87,No
300574,2025-02,33045,23909,24.6,455,Partial Payment,Current,609,20.53,No
300575,2025-02,25796,28980,11.98,908,Paid in Full,Current,634,84.92,No
300576,2025-02,49667,44405,15.29,882,Paid in Full,Current,810,75.92,No
300577,2025-02,44569,33626,19.54,838,Paid in Full,Current,556,73.85,No
300578,2025-02,5141,19442,16.58,451,Partial Payment,Current,843,7.22,Yes
300579,2025-02,21866,11823,12.39,356,Paid in Full,Current,793,44.7,No
300580,2025-02,47436,26277,12.88,50,Paid in Full,Current,820,33.27,No
300581,2025-02,17513,31733,15.87,944,Paid in Full,Current,531,89.1,No
300582,2025-02,10327,13527,14.74,665,Paid in Full,Current,801,9.55,No
300583,2025-02,16938,5085,22.07,175,Paid in Full,Current,508,15.36,No
300584,2025-02,11427,43534,22.7,895,Partial Payment,Current,657,66.72,No
300585,2025-02,28994,28612,24.71,214,Paid in Full,Current,712,11.3,No
300586,2025-02,13332,33317,17.35,840,Partial Payment,Current,837,92.65,No
300587,2025-02,12958,20023,14.38,375,Paid in Full,Current,570,40.13,No
300588,2025-02,17874,39131,24.58,300,Paid in Full,Current,561,21.09,No
300589,2025-02,29010,41385,16.07,419,Partial Payment,Current,623,69.11,No
300590,2025-02,26311,11449,10.69,335,Paid in Full,Current,590,71.89,No
300591,2025-02,48831,28623,13.3,50,Paid in Full,Current,784,36.16,No
300592,2025-02,14821,38380,11.62,907,Paid in Full,Current,826,11.63,No
300593,2025-02,26546,18934,10.42,986,Paid in Full,Current,661,85.6,No
300594,2025-02,2510,9481,24.48,231,Paid in Full,Current,620,10.07,No
300595,2025-02,43675,21499,24.32,112,Paid in Full,Current,843,60.83,No
300596,2025-02,28495,28110,22.04,94,Paid in Full,Current,743,69.0,No
300597,2025-02,42934,28608,22.84,454,Paid in Full,30 Days,666,80.1,No
300598,2025-02,36500,3055,23.95,934,Paid in Full,Current,658,44.83,No
300599,2025-02,8402,24629,17.54,461,Paid in Full,Current,774,55.38,No
300600,2025-02,21322,31629,19.65,428,Partial Payment,Current,816,10.6,No
300601,2025-02,6477,34296,23.78,96,Paid in Full,Current,639,78.82,No
300602,2025-02,3287,36987,15.16,188,Paid in Full,Current,645,10.08,No
300603,2025-02,5714,42206,20.42,701,Paid in Full,Current,680,93.48,No
300604,2025-02,10915,8718,14.44,306,Missed Payment,90+ Days,841,61.16,No
300605,2025-02,49965,24996,15.05,546,Paid in Full,Current,583,93.62,No
300606,2025-02,31217,34796,13.91,50,Paid in Full,Current,697,37.72,No
300607,2025-02,23002,38552,18.92,768,Paid in Full,Current,579,68.49,No
300608,2025-02,15027,40976,21.63,248,Partial Payment,Current,776,72.68,No
300609,2025-02,38408,34550,13.53,103,Missed Payment,Current,798,13.91,No
300610,2025-02,34568,9627,16.1,221,Partial Payment,Current,637,13.72,No
300611,2025-02,38302,3960,16.94,115,Paid in Full,Current,591,13.86,No
300612,2025-02,11513,5235,22.94,278,Paid in Full,Current,826,35.4,No
300613,2025-02,6729,27869,14.64,340,Partial Payment,Current,582,24.82,No
300614,2025-02,38111,34023,11.96,270,Paid in Full,Current,781,91.8,No
300615,2025-02,44106,43432,13.7,254,Partial Payment,Current,596,39.44,No
300616,2025-02,9860,14005,24.6,91,Paid in Full,Current,763,84.0,No
300617,2025-02,40948,39509,24.97,558,Paid in Full,Current,754,39.1,No
300618,2025-02,41875,37618,19.29,861,Paid in Full,Current,749,56.01,No
300619,2025-02,1012,20546,24.13,146,Paid in Full,Current,634,89.65,No
300620,2025-02,29532,5396,15.92,56,Paid in Full,Current,649,67.75,No
300621,2025-02,47932,30917,11.72,554,Paid in Full,Current,701,65.17,No
300622,2025-02,10363,44950,21.72,653,Paid in Full,Current,669,20.1,No
300623,2025-02,48802,19503,15.11,449,Paid in Full,Current,724,46.89,No
300624,2025-02,44171,6699,19.83,711,Paid in Full,Current,814,76.09,No
300625,2025-02,1360,8812,23.89,190,Paid in Full,90+ Days,558,31.07,No
300626,2025-02,5206,40825,23.95,466,Partial Payment,30 Days,559,9.53,No
300627,2025-02,27192,31775,16.4,391,Partial Payment,Current,718,83.73,No
300628,2025-02,49437,7058,14.25,371,Paid in Full,Current,595,40.69,No
300629,2025-02,31046,14134,17.72,443,Paid in Full,Current,845,36.0,No
